time    ,timestamp ,people_count,density[ppl/10m2],latitude,longitude,sat,altitude[m],height[m],air_temp[°C],angle[deg],area[m2],battery[%]
21:05:52,1615835153,34          ,1.23             ,0.0     ,0.0      ,0  ,442.6      ,10       ,21.5        ,45        ,277.03  ,48
21:10:39,1615835440,44          ,1.59             ,0.0     ,0.0      ,0  ,442.2      ,10       ,21.4        ,45        ,277.03  ,48
21:20:43,1615836043,38          ,1.37             ,0.0     ,0.0      ,0  ,441.3      ,10       ,20.7        ,45        ,277.03  ,48
21:50:34,1615837834,38          ,1.37             ,0.0     ,0.0      ,0  ,443.3      ,10       ,21.3        ,45        ,277.03  ,46
21:50:44,1615837844,42          ,1.52             ,0.0     ,0.0      ,0  ,443.5      ,10       ,21.4        ,45        ,277.03  ,45
21:50:53,1615837854,46          ,1.66             ,0.0     ,0.0      ,0  ,443.5      ,10       ,21.5        ,45        ,277.03  ,45
21:51:03,1615837863,56          ,2.02             ,0.0     ,0.0      ,0  ,443.5      ,10       ,21.5        ,45        ,277.03  ,45
21:51:12,1615837873,56          ,2.02             ,0.0     ,0.0      ,0  ,443.3      ,10       ,21.6        ,45        ,277.03  ,45
21:51:22,1615837882,56          ,2.02             ,0.0     ,0.0      ,0  ,443.4      ,10       ,21.6        ,45        ,277.03  ,45
21:51:31,1615837892,56          ,2.02             ,0.0     ,0.0      ,0  ,443.4      ,10       ,21.6        ,45        ,277.03  ,45
21:53:31,1615838011,38          ,1.37             ,0.0     ,0.0      ,0  ,443.7      ,10       ,22.1        ,45        ,277.03  ,45
21:53:34,1615838014,38          ,1.37             ,0.0     ,0.0      ,0  ,443.6      ,10       ,22.1        ,45        ,277.03  ,45
21:53:37,1615838017,38          ,1.37             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.1        ,45        ,277.03  ,45
21:53:40,1615838020,39          ,1.41             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.1        ,45        ,277.03  ,45
21:53:42,1615838023,39          ,1.41             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.1        ,45        ,277.03  ,45
21:53:45,1615838026,39          ,1.41             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.1        ,45        ,277.03  ,45
21:53:48,1615838029,42          ,1.52             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.1        ,45        ,277.03  ,45
21:53:51,1615838031,43          ,1.55             ,0.0     ,0.0      ,0  ,443.6      ,10       ,22.2        ,45        ,277.03  ,45
21:53:54,1615838034,45          ,1.62             ,0.0     ,0.0      ,0  ,443.7      ,10       ,22.2        ,45        ,277.03  ,45
21:53:56,1615838037,46          ,1.66             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.2        ,45        ,277.03  ,45
21:53:59,1615838040,46          ,1.66             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.2        ,45        ,277.03  ,45
21:54:02,1615838042,46          ,1.66             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.2        ,45        ,277.03  ,45
21:54:05,1615838045,51          ,1.84             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.2        ,45        ,277.03  ,45
21:54:08,1615838048,56          ,2.02             ,0.0     ,0.0      ,0  ,443.8      ,10       ,22.2        ,45        ,277.03  ,45
21:54:10,1615838051,56          ,2.02             ,0.0     ,0.0      ,0  ,443.7      ,10       ,22.2        ,45        ,277.03  ,45
21:54:13,1615838054,56          ,2.02             ,0.0     ,0.0      ,0  ,443.7      ,10       ,22.3        ,45        ,277.03  ,45
21:54:16,1615838057,56          ,2.02             ,0.0     ,0.0      ,0  ,443.7      ,10       ,22.3        ,45        ,277.03  ,45
21:54:19,1615838059,56          ,2.02             ,0.0     ,0.0      ,0  ,443.7      ,10       ,22.3        ,45        ,277.03  ,45
